event_id,user_id,timestamp,event_type,resource_id,sensitive_resource_flag,records_accessed,device_id,new_device_flag,permission_change_flag,new_permission_level,beneficiary_id,new_beneficiary_flag,transaction_amount
E000001,U006,2026-03-02T01:05:00,login,,0,0,DEV-015,0,0,,,0,0.0
E000002,U019,2026-03-02T01:34:00,login,,0,0,DEV-024,0,0,,,0,0.0
E000003,U015,2026-03-02T01:49:00,login,,0,0,DEV-013,0,0,,,0,0.0
E000004,U015,2026-03-02T02:00:00,file_access,RES-016,0,14,DEV-013,0,0,,,0,0.0
E000005,U012,2026-03-02T02:22:00,login,,0,0,DEV-028,0,0,,,0,0.0
E000006,U015,2026-03-02T02:24:00,file_access,RES-020,0,4,DEV-013,0,0,,,0,0.0
E000007,U013,2026-03-02T02:31:00,login,,0,0,DEV-001,0,0,,,0,0.0
E000008,U006,2026-03-02T02:42:00,file_access,RES-027,0,16,DEV-015,0,0,,,0,0.0
E000009,U012,2026-03-02T02:50:00,file_access,RES-056,0,5,DEV-028,0,0,,,0,0.0
E000010,U019,2026-03-02T02:57:00,file_access,RES-031,0,7,DEV-024,0,0,,,0,0.0
E000011,U019,2026-03-02T03:05:00,file_access,RES-050,0,9,DEV-024,0,0,,,0,0.0
E000012,U013,2026-03-02T03:33:00,file_access,RES-044,0,19,DEV-001,0,0,,,0,0.0
E000013,U013,2026-03-02T04:12:00,file_access,RES-037,0,19,DEV-001,0,0,,,0,0.0
E000014,U012,2026-03-02T04:14:00,transaction,,0,0,DEV-028,0,0,,BEN-001,0,908.47
E000015,U015,2026-03-02T04:38:00,transaction,,0,0,DEV-013,0,0,,BEN-015,0,84.17
E000016,U013,2026-03-02T05:20:00,transaction,,0,0,DEV-001,0,0,,BEN-011,0,71.03
E000017,U016,2026-03-02T08:02:00,login,,0,0,DEV-008,0,0,,,0,0.0
E000018,U001,2026-03-02T08:14:00,login,,0,0,DEV-028,0,0,,,0,0.0
E000019,U002,2026-03-02T08:37:00,login,,0,0,DEV-015,0,0,,,0,0.0
E000020,U017,2026-03-02T08:52:00,login,,0,0,DEV-032,0,0,,,0,0.0
E000021,U004,2026-03-02T09:00:00,login,,0,0,DEV-003,0,0,,,0,0.0
E000022,U017,2026-03-02T09:06:00,file_access,RES-009,1,11,DEV-032,0,0,,,0,0.0
E000023,U002,2026-03-02T09:08:00,file_access,RES-043,0,11,DEV-015,0,0,,,0,0.0
E000024,U018,2026-03-02T09:10:00,login,,0,0,DEV-039,0,0,,,0,0.0
E000025,U002,2026-03-02T09:12:00,file_access,RES-017,0,13,DEV-015,0,0,,,0,0.0
E000026,U014,2026-03-02T09:14:00,login,,0,0,DEV-017,0,0,,,0,0.0
E000027,U001,2026-03-02T09:24:00,transaction,,0,0,DEV-028,0,0,,BEN-009,0,559.07
E000028,U016,2026-03-02T09:25:00,file_access,RES-028,0,9,DEV-008,0,0,,,0,0.0
E000029,U007,2026-03-02T09:28:00,login,,0,0,DEV-005,0,0,,,0,0.0
E000030,U016,2026-03-02T09:28:00,file_access,RES-051,0,2,DEV-008,0,0,,,0,0.0
E000031,U014,2026-03-02T09:38:00,file_access,RES-005,1,10,DEV-017,0,0,,,0,0.0
E000032,U002,2026-03-02T09:48:00,file_access,RES-021,0,9,DEV-015,0,0,,,0,0.0
E000033,U014,2026-03-02T09:49:00,transaction,,0,0,DEV-017,0,0,,BEN-024,0,0
E000034,U017,2026-03-02T09:56:00,file_access,RES-044,0,17,DEV-032,0,0,,,0,0.0
E000035,U016,2026-03-02T09:58:00,file_access,RES-059,0,12,DEV-008,0,0,,,0,0.0
E000036,U007,2026-03-02T10:11:00,file_access,RES-056,0,19,DEV-005,0,0,,,0,0.0
E000037,U001,2026-03-02T10:14:00,file_access,RES-003,1,11,DEV-028,0,0,,,0,0.0
E000038,U017,2026-03-02T10:19:00,file_access,RES-005,1,15,DEV-032,0,0,,,0,0.0
E000039,U018,2026-03-02T10:20:00,file_access,RES-030,0,16,DEV-039,0,0,,,0,0.0
E000040,U009,2026-03-02T10:26:00,login,,0,0,DEV-014,0,0,,,0,0.0
E000041,U007,2026-03-02T10:27:00,file_access,RES-020,0,19,DEV-005,0,0,,,0,0.0
E000042,U004,2026-03-02T10:44:00,file_access,RES-028,0,8,DEV-003,0,0,,,0,0.0
