event_id,user_id,timestamp,event_type,resource_id,sensitive_resource_flag,records_accessed,device_id,new_device_flag,permission_change_flag,new_permission_level,beneficiary_id,new_beneficiary_flag,transaction_amount,exceeds_limit_flag,session_duration_minutes
E0001,U023,2026-03-02T06:10:00,login,,0,0,DEV-008,0,0,,,0,0.0,0,0.0
E0002,U023,2026-03-02T06:19:00,file_access,RES-020,0,6,DEV-008,0,0,,,0,0.0,0,0.0
E0003,U016,2026-03-02T06:36:00,login,,0,0,DEV-004,0,0,,,0,0.0,0,0.0
E0004,U023,2026-03-02T06:48:00,logout,,0,0,DEV-008,0,0,,,0,0.0,0,38.0
E0005,U016,2026-03-02T06:59:00,file_access,RES-021,0,8,DEV-004,0,0,,,0,0.0,0,0.0
E0006,U010,2026-03-02T07:10:00,login,,0,0,DEV-006,0,0,,,0,0.0,0,0.0
E0007,U016,2026-03-02T07:15:00,transaction,,0,0,DEV-004,0,0,,BEN-001,0,322.33,0,0.0
E0008,U016,2026-03-02T07:41:00,logout,,0,0,DEV-004,0,0,,,0,0.0,0,65.0
E0009,U007,2026-03-02T07:42:00,login,,0,0,DEV-007,0,0,,,0,0.0,0,0.0
E0010,U022,2026-03-02T07:48:00,login,,0,0,DEV-001,0,0,,,0,0.0,0,0.0
E0011,U007,2026-03-02T07:59:00,file_access,RES-018,0,6,DEV-007,0,0,,,0,0.0,0,0.0
E0012,U017,2026-03-02T08:00:00,login,,0,0,DEV-015,0,0,,,0,0.0,0,0.0
E0013,U010,2026-03-02T08:02:00,file_access,RES-021,0,8,DEV-006,0,0,,,0,0.0,0,0.0
E0014,U007,2026-03-02T08:08:00,transaction,,0,0,DEV-007,0,0,,BEN-011,0,1397.73,0,0.0
E0015,U001,2026-03-02T08:13:00,login,,0,0,DEV-018,0,0,,,0,0.0,0,0.0
E0016,U006,2026-03-02T08:13:00,login,,0,0,DEV-013,0,0,,,0,0.0,0,0.0
E0017,U010,2026-03-02T08:22:00,transaction,,0,0,DEV-006,0,0,,BEN-013,0,565.68,0,0.0
E0018,U022,2026-03-02T08:24:00,file_access,RES-023,0,1,DEV-001,0,0,,,0,0.0,0,0.0
E0019,U002,2026-03-02T08:25:00,login,,0,0,DEV-001,0,0,,,0,0.0,0,0.0
E0020,U017,2026-03-02T08:31:00,file_access,RES-020,0,12,DEV-015,0,0,,,0,0.0,0,0.0
E0021,U013,2026-03-02T08:38:00,login,,0,0,DEV-007,0,0,,,0,0.0,0,0.0
E0022,U005,2026-03-02T08:43:00,login,,0,0,DEV-012,0,0,,,0,0.0,0,0.0
E0023,U022,2026-03-02T08:49:00,logout,,0,0,DEV-001,0,0,,,0,0.0,0,61.0
E0024,U003,2026-03-02T08:50:00,login,,0,0,DEV-009,0,0,,,0,0.0,0,0.0
E0025,U007,2026-03-02T08:50:00,logout,,0,0,DEV-007,0,0,,,0,0.0,0,68.0
E0026,U001,2026-03-02T08:52:00,file_access,RES-012,0,12,DEV-018,0,0,,,0,0.0,0,0.0
E0027,U017,2026-03-02T08:59:00,logout,,0,0,DEV-015,0,0,,,0,0.0,0,59.0
E0028,U006,2026-03-02T09:01:00,file_access,RES-013,0,11,DEV-013,0,0,,,0,0.0,0,0.0
E0029,U004,2026-03-02T09:04:00,login,,0,0,DEV-005,0,0,,,0,0.0,0,0.0
E0030,U010,2026-03-02T09:05:00,logout,,0,0,DEV-006,0,0,,,0,0.0,0,115.0
E0031,U004,2026-03-02T09:09:00,file_access,RES-020,0,10,DEV-005,0,0,,,0,0.0,0,0.0
E0032,U002,2026-03-02T09:16:00,file_access,RES-016,0,13,DEV-001,0,0,,,0,0.0,0,0.0
E0033,U014,2026-03-02T09:17:00,login,,0,0,DEV-008,0,0,,,0,0.0,0,0.0
E0034,U008,2026-03-02T09:19:00,login,,0,0,DEV-008,0,0,,,0,0.0,0,0.0
E0035,U009,2026-03-02T09:19:00,login,,0,0,DEV-012,0,0,,,0,0.0,0,0.0
E0036,U012,2026-03-02T09:22:00,login,,0,0,DEV-011,0,0,,,0,0.0,0,0.0
E0037,U015,2026-03-02T09:22:00,login,,0,0,DEV-012,0,0,,,0,0.0,0,0.0
E0038,U004,2026-03-02T09:25:00,logout,,0,0,DEV-005,0,0,,,0,0.0,0,21.0
E0039,U005,2026-03-02T09:28:00,file_access,RES-014,0,9,DEV-012,0,0,,,0,0.0,0,0.0
E0040,U003,2026-03-02T09:30:00,file_access,RES-021,0,3,DEV-009,0,0,,,0,0.0,0,0.0
E0041,U002,2026-03-02T09:33:00,logout,,0,0,DEV-001,0,0,,,0,0.0,0,68.0
