event_id,is_attack,scenario_id,expected_risk_raw,expected_risk_final
E0001,0,,LOW,LOW
E0002,0,,LOW,LOW
E0003,0,,LOW,LOW
E0004,0,,LOW,LOW
E0005,0,,LOW,LOW
E0006,0,,LOW,LOW
E0007,0,,LOW,LOW
E0008,0,,LOW,LOW
E0009,0,,LOW,LOW
E0010,0,,LOW,LOW
E0011,0,,LOW,LOW
E0012,0,,LOW,LOW
E0013,0,,LOW,LOW
E0014,0,,LOW,LOW
E0015,0,,LOW,LOW
E0016,0,,LOW,LOW
E0017,0,,LOW,LOW
E0018,0,,LOW,LOW
E0019,0,,LOW,LOW
E0020,0,,LOW,LOW
E0021,0,,LOW,LOW
E0022,0,,LOW,LOW
E0023,0,,LOW,LOW
E0024,0,,LOW,LOW
E0025,0,,LOW,LOW
E0026,0,,LOW,LOW
E0027,0,,LOW,LOW
E0028,0,,LOW,LOW
E0029,0,,LOW,LOW
E0030,0,,LOW,LOW
E0031,0,,LOW,LOW
E0032,0,,LOW,LOW
E0033,0,,LOW,LOW
E0034,0,,LOW,LOW
E0035,0,,LOW,LOW
E0036,0,,LOW,LOW
E0037,0,,LOW,LOW
E0038,0,,LOW,LOW
E0039,0,,LOW,LOW
E0040,0,,LOW,LOW
E0041,0,,LOW,LOW
E0042,0,,LOW,LOW
E0043,0,,LOW,LOW
E0044,0,,LOW,LOW
E0045,0,,LOW,LOW
E0046,0,,LOW,LOW
E0047,0,,LOW,LOW
E0048,0,,LOW,LOW
E0049,0,,LOW,LOW
E0050,0,,LOW,LOW
E0051,0,,LOW,LOW
E0052,0,,LOW,LOW
E0053,0,,LOW,LOW
E0054,0,,LOW,LOW
E0055,0,,LOW,LOW
E0056,0,,LOW,LOW
E0057,0,,LOW,LOW
E0058,0,,LOW,LOW
E0059,0,,LOW,LOW
E0060,0,,LOW,LOW
E0061,0,,LOW,LOW
E0062,0,,LOW,LOW
E0063,0,,LOW,LOW
E0064,0,,LOW,LOW
E0065,0,,LOW,LOW
E0066,0,,LOW,LOW
E0067,0,,LOW,LOW
E0068,0,,LOW,LOW
E0069,0,,LOW,LOW
E0070,0,,LOW,LOW
E0071,0,,LOW,LOW
E0072,0,,LOW,LOW
E0073,0,,LOW,LOW
E0074,0,,LOW,LOW
E0075,0,,LOW,LOW
E0076,0,,LOW,LOW
E0077,0,,LOW,LOW
E0078,0,,LOW,LOW
E0079,0,,LOW,LOW
E0080,0,,LOW,LOW
E0081,0,,LOW,LOW
E0082,0,,LOW,LOW
E0083,0,,LOW,LOW
E0084,0,,LOW,LOW
E0085,0,,LOW,LOW
E0086,0,,LOW,LOW
E0087,0,,LOW,LOW
E0088,0,,LOW,LOW
E0089,0,,LOW,LOW
E0090,0,,LOW,LOW
E0091,0,,LOW,LOW
E0092,0,,LOW,LOW
E0093,0,,LOW,LOW
E0094,0,,LOW,LOW
E0095,0,,LOW,LOW
E0096,0,,LOW,LOW
E0097,0,,LOW,LOW
E0098,0,,LOW,LOW
E0099,0,,LOW,LOW
E0100,0,,LOW,LOW
E0101,0,,LOW,LOW
E0102,0,,LOW,LOW
E0103,0,,LOW,LOW
E0104,0,,LOW,LOW
E0105,0,,LOW,LOW
E0106,0,,LOW,LOW
E0107,0,,LOW,LOW
E0108,0,,LOW,LOW
E0109,0,,LOW,LOW
E0110,0,,LOW,LOW
E0111,0,,LOW,LOW
E0112,0,,LOW,LOW
E0113,0,,LOW,LOW
E0114,0,,LOW,LOW
E0115,0,,LOW,LOW
E0116,0,,LOW,LOW
E0117,0,,LOW,LOW
E0118,0,,LOW,LOW
E0119,0,,LOW,LOW
E0120,0,,LOW,LOW
E0121,0,,LOW,LOW
E0122,0,,LOW,LOW
E0123,0,,LOW,LOW
E0124,0,,LOW,LOW
E0125,0,,LOW,LOW
E0126,0,,LOW,LOW
E0127,0,,LOW,LOW
E0128,0,,LOW,LOW
E0129,0,,LOW,LOW
E0130,0,,LOW,LOW
E0131,0,,LOW,LOW
E0132,0,,LOW,LOW
E0133,0,,LOW,LOW
E0134,0,,LOW,LOW
E0135,0,,LOW,LOW
E0136,0,,LOW,LOW
E0137,0,,LOW,LOW
E0138,0,,LOW,LOW
E0139,0,,LOW,LOW
E0140,0,,LOW,LOW
E0141,0,,LOW,LOW
E0142,0,,LOW,LOW
E0143,0,,LOW,LOW
E0144,0,,LOW,LOW
E0145,0,,LOW,LOW
E0146,0,,LOW,LOW
E0147,0,,LOW,LOW
E0148,0,,LOW,LOW
E0149,0,,LOW,LOW
E0150,0,,LOW,LOW
E0151,0,,LOW,LOW
E0152,0,,LOW,LOW
E0153,0,,LOW,LOW
E0154,0,,LOW,LOW
E0155,0,,LOW,LOW
E0156,0,,LOW,LOW
E0157,0,,LOW,LOW
E0158,0,,LOW,LOW
E0159,0,,LOW,LOW
E0160,0,,LOW,LOW
E0161,0,,LOW,LOW
E0162,0,,LOW,LOW
E0163,0,,LOW,LOW
E0164,0,,LOW,LOW
E0165,0,,LOW,LOW
E0166,0,,LOW,LOW
E0167,0,,LOW,LOW
E0168,0,,LOW,LOW
E0169,0,,LOW,LOW
E0170,0,,LOW,LOW
E0171,0,,LOW,LOW
E0172,0,,LOW,LOW
E0173,0,,LOW,LOW
E0174,0,,LOW,LOW
E0175,0,,LOW,LOW
E0176,0,,LOW,LOW
E0177,0,,LOW,LOW
E0178,0,,LOW,LOW
E0179,0,,LOW,LOW
E0180,0,,LOW,LOW
