event_id,user_id,event_type,m2_behavior_score,ml_attack_probability,ml_attack_prediction,isolation_risk_score,isolation_forest_prediction,off_hours_flag,weekend_activity_flag,event_velocity_score,transaction_ratio_to_user_average,transaction_spike_score,attack_stage_score,sequence_progression_score,contextual_risk_score,m2_risk_normalized,ml_risk_normalized,isolation_risk_normalized,contextual_risk_normalized,sequence_risk_normalized,attack_stage_normalized,contextual_signal_count,m12_risk_score,m12_risk_level,m12_attack_prediction,model_agreement,m12_security_alert,m12_detection_explanation
E000669,U002,transaction,55.0,99.0,1,98.6134080237774,1,1,0,6.83,100.0,100.0,20.0,70.02,41.05,0.55,0.99,0.9861340802377739,0.4105,0.7001999999999999,1.0,4,77.05,HIGH,1,BOTH MODELS,HIGH PRIORITY SECURITY ALERT,High behavioural deviation; Random Forest detection; Isolation Forest anomaly; Elevated contextual risk; Suspicious sequence progression; Attack-stage activity detected; Off-hours activity
E000591,U001,transaction,55.0,98.75,1,98.6134080237774,1,1,0,6.83,30.77,100.0,20.0,70.02,41.05,0.55,0.9875,0.9861340802377739,0.4105,0.7001999999999999,1.0,4,76.96,HIGH,1,BOTH MODELS,HIGH PRIORITY SECURITY ALERT,High behavioural deviation; Random Forest detection; Isolation Forest anomaly; Elevated contextual risk; Suspicious sequence progression; Attack-stage activity detected; Off-hours activity
E000590,U001,beneficiary_change,40.2,100.0,1,100.0,1,1,0,6.0,0.0,0.0,20.0,44.9,20.8,0.402,1.0,1.0,0.20800000000000002,0.449,1.0,3,68.63,HIGH,1,BOTH MODELS,HIGH PRIORITY SECURITY ALERT,High behavioural deviation; Random Forest detection; Isolation Forest anomaly; Elevated contextual risk; Suspicious sequence progression; Attack-stage activity detected; Off-hours activity
E000667,U002,beneficiary_change,40.2,100.0,1,100.0,1,1,0,6.0,0.0,0.0,20.0,44.9,20.8,0.402,1.0,1.0,0.20800000000000002,0.449,1.0,3,68.63,HIGH,1,BOTH MODELS,HIGH PRIORITY SECURITY ALERT,High behavioural deviation; Random Forest detection; Isolation Forest anomaly; Elevated contextual risk; Suspicious sequence progression; Attack-stage activity detected; Off-hours activity
E000588,U001,file_access,33.0,96.5,1,83.10241956040129,1,1,0,5.17,0.0,0.0,20.0,44.78,20.55,0.33,0.965,0.8310241956040129,0.20550000000000002,0.44780000000000003,1.0,3,62.67,HIGH,1,BOTH MODELS,HIGH PRIORITY SECURITY ALERT,High behavioural deviation; Random Forest detection; Isolation Forest anomaly; Elevated contextual risk; Suspicious sequence progression; Attack-stage activity detected; Off-hours activity
E000666,U002,file_access,33.0,96.5,1,83.10241956040129,1,1,0,5.17,0.0,0.0,20.0,44.78,20.55,0.33,0.965,0.8310241956040129,0.20550000000000002,0.44780000000000003,1.0,3,62.67,HIGH,1,BOTH MODELS,HIGH PRIORITY SECURITY ALERT,High behavioural deviation; Random Forest detection; Isolation Forest anomaly; Elevated contextual risk; Suspicious sequence progression; Attack-stage activity detected; Off-hours activity
E000586,U001,permission_change,33.2,86.75,1,97.14581573723414,1,1,0,2.58,0.0,0.0,20.0,34.39,19.77,0.332,0.8675,0.9714581573723414,0.1977,0.3439,1.0,3,60.31,HIGH,1,BOTH MODELS,HIGH PRIORITY SECURITY ALERT,High behavioural deviation; Random Forest detection; Isolation Forest anomaly; Elevated contextual risk; Suspicious sequence progression; Attack-stage activity detected; Off-hours activity
E000664,U002,permission_change,33.2,86.75,1,97.14581573723414,1,1,0,2.58,0.0,0.0,20.0,34.39,19.77,0.332,0.8675,0.9714581573723414,0.1977,0.3439,1.0,3,60.31,HIGH,1,BOTH MODELS,HIGH PRIORITY SECURITY ALERT,High behavioural deviation; Random Forest detection; Isolation Forest anomaly; Elevated contextual risk; Suspicious sequence progression; Attack-stage activity detected; Off-hours activity
E000585,U001,login,29.1,77.75,1,90.80383560384166,1,1,0,0.0,0.0,0.0,20.0,4.0,34.0,0.29100000000000004,0.7775,0.9080383560384166,0.34,0.04,1.0,4,53.36,MEDIUM,1,BOTH MODELS,SECURITY REVIEW RECOMMENDED,Random Forest detection; Isolation Forest anomaly; Elevated contextual risk; Attack-stage activity detected; Off-hours activity
E000663,U002,login,29.1,77.75,1,90.80383560384166,1,1,0,0.0,0.0,0.0,20.0,4.0,34.0,0.29100000000000004,0.7775,0.9080383560384166,0.34,0.04,1.0,4,53.36,MEDIUM,1,BOTH MODELS,SECURITY REVIEW RECOMMENDED,Random Forest detection; Isolation Forest anomaly; Elevated contextual risk; Attack-stage activity detected; Off-hours activity
E000508,U013,login,24.2,4.25,0,82.46080534402634,0,1,0,0.0,0.0,0.0,0.0,0.0,15.0,0.242,0.0425,0.8246080534402634,0.15,0.0,0.0,1,22.62,LOW-MODERATE,0,NO MODEL DETECTION,MONITOR USER ACTIVITY,Elevated contextual risk; Off-hours activity
E000580,U019,login,22.1,3.25,0,72.23617204668587,0,1,0,0.0,0.0,0.0,0.0,0.0,15.0,0.221,0.0325,0.7223617204668586,0.15,0.0,0.0,1,20.1,LOW-MODERATE,0,NO MODEL DETECTION,MONITOR USER ACTIVITY,Elevated contextual risk; Off-hours activity
E000582,U019,transaction,9.0,0.0,0,69.67966914271835,0,1,0,0.0,3.05,30.5,20.0,8.57,25.1,0.09,0.0,0.6967966914271835,0.251,0.0857,1.0,4,16.52,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION,Elevated contextual risk; Attack-stage activity detected; Off-hours activity
E000275,U005,login,20.0,0.5,0,68.92555769387717,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.005,0.6892555769387717,0.0,0.0,0.0,0,16.51,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION,No significant security indicators
E000679,U012,transaction,9.0,0.0,0,69.67966914271835,0,1,0,0.0,2.16,21.6,20.0,7.24,23.32,0.09,0.0,0.6967966914271835,0.2332,0.0724,1.0,4,16.21,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION,Elevated contextual risk; Attack-stage activity detected; Off-hours activity
E000426,U003,transaction,9.0,0.0,0,69.67966914271835,0,0,1,6.58,0.42,4.2,20.0,5.62,6.81,0.09,0.0,0.6967966914271835,0.0681,0.0562,1.0,3,14.39,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION,Attack-stage activity detected; Weekend activity
E000211,U020,transaction,9.0,0.0,0,69.67966914271835,0,0,0,0.0,0.65,6.5,20.0,4.97,5.3,0.09,0.0,0.6967966914271835,0.053,0.049699999999999994,1.0,2,14.18,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION,Attack-stage activity detected
E000045,U018,transaction,9.0,0.0,0,69.67966914271835,0,0,0,0.0,0.41,4.1,20.0,4.62,4.82,0.09,0.0,0.6967966914271835,0.0482,0.0462,1.0,2,14.1,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION,Attack-stage activity detected
E000335,U011,transaction,7.5,0.0,0,67.05270608141142,0,0,0,0.0,0.33,3.3,20.0,4.5,4.66,0.075,0.0,0.6705270608141142,0.0466,0.045,1.0,2,13.22,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION,Attack-stage activity detected
E000629,U017,transaction,6.0,2.0,0,63.06681830964928,0,0,0,0.83,0.93,9.3,20.0,5.52,6.11,0.06,0.02,0.6306681830964928,0.0611,0.0552,1.0,2,13.12,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION,Attack-stage activity detected
E000300,U012,login,14.1,0.0,0,46.2256638048616,0,1,0,0.0,0.0,0.0,0.0,0.0,15.0,0.141,0.0,0.46225663804861594,0.15,0.0,0.0,1,12.66,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION,Elevated contextual risk; Off-hours activity
E000154,U015,login,14.1,0.0,0,46.2256638048616,0,1,0,0.0,0.0,0.0,0.0,0.0,15.0,0.141,0.0,0.46225663804861594,0.15,0.0,0.0,1,12.66,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION,Elevated contextual risk; Off-hours activity
E000583,U006,login,14.1,0.0,0,46.2256638048616,0,1,0,0.0,0.0,0.0,0.0,0.0,15.0,0.141,0.0,0.46225663804861594,0.15,0.0,0.0,1,12.66,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION,Elevated contextual risk; Off-hours activity
E000162,U012,login,14.1,0.0,0,46.2256638048616,0,1,0,0.0,0.0,0.0,0.0,0.0,15.0,0.141,0.0,0.46225663804861594,0.15,0.0,0.0,1,12.66,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION,Elevated contextual risk; Off-hours activity
E000365,U006,login,14.1,0.0,0,46.2256638048616,0,1,1,0.0,0.0,0.0,0.0,0.0,15.0,0.141,0.0,0.46225663804861594,0.15,0.0,0.0,2,12.66,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION,Elevated contextual risk; Off-hours activity; Weekend activity
