event_id,user_id,timestamp,event_type,m13_risk_score,m13_risk_level,m13_attack_prediction,m13_detection_confidence,m14_attack_stage,m14_suspicious_event,m14_campaign_id,campaign_event_count,campaign_users,campaign_stages,campaign_duration_minutes,campaign_progression_score,campaign_risk_score,campaign_risk_level,campaign_confidence,attack_chain_detected,m14_final_risk_score,m14_final_risk_level,m14_campaign_explanation,m14_recommended_action
E000591,U001,,transaction,96.96,CRITICAL,1,100.0,IMPACT,1,CMP0001,5.0,1.0,IMPACT → PERSISTENCE → DATA_ACCESS → PRIVILEGE_ESCALATION → INITIAL_ACCESS,0.0,0.0,68.93,HIGH,58.18,1,100.0,CRITICAL,MULTI-STAGE ATTACK CHAIN DETECTED: IMPACT → PERSISTENCE → DATA_ACCESS → PRIVILEGE_ESCALATION → INITIAL_ACCESS,"IMMEDIATE INVESTIGATION, CONTAINMENT AND INCIDENT RESPONSE"
E000669,U002,,transaction,97.05,CRITICAL,1,100.0,IMPACT,1,CMP0002,5.0,1.0,IMPACT → PERSISTENCE → DATA_ACCESS → PRIVILEGE_ESCALATION → INITIAL_ACCESS,0.0,0.0,68.98,HIGH,58.23,1,100.0,CRITICAL,MULTI-STAGE ATTACK CHAIN DETECTED: IMPACT → PERSISTENCE → DATA_ACCESS → PRIVILEGE_ESCALATION → INITIAL_ACCESS,"IMMEDIATE INVESTIGATION, CONTAINMENT AND INCIDENT RESPONSE"
E000667,U002,,beneficiary_change,86.63,CRITICAL,1,100.0,PERSISTENCE,1,CMP0002,5.0,1.0,IMPACT → PERSISTENCE → DATA_ACCESS → PRIVILEGE_ESCALATION → INITIAL_ACCESS,0.0,0.0,68.98,HIGH,58.23,1,96.63,CRITICAL,MULTI-STAGE ATTACK CHAIN DETECTED: IMPACT → PERSISTENCE → DATA_ACCESS → PRIVILEGE_ESCALATION → INITIAL_ACCESS,"IMMEDIATE INVESTIGATION, CONTAINMENT AND INCIDENT RESPONSE"
E000590,U001,,beneficiary_change,86.63,CRITICAL,1,100.0,PERSISTENCE,1,CMP0001,5.0,1.0,IMPACT → PERSISTENCE → DATA_ACCESS → PRIVILEGE_ESCALATION → INITIAL_ACCESS,0.0,0.0,68.93,HIGH,58.18,1,96.63,CRITICAL,MULTI-STAGE ATTACK CHAIN DETECTED: IMPACT → PERSISTENCE → DATA_ACCESS → PRIVILEGE_ESCALATION → INITIAL_ACCESS,"IMMEDIATE INVESTIGATION, CONTAINMENT AND INCIDENT RESPONSE"
E000588,U001,,file_access,80.67,CRITICAL,1,99.8,DATA_ACCESS,1,CMP0001,5.0,1.0,IMPACT → PERSISTENCE → DATA_ACCESS → PRIVILEGE_ESCALATION → INITIAL_ACCESS,0.0,0.0,68.93,HIGH,58.18,1,90.67,CRITICAL,MULTI-STAGE ATTACK CHAIN DETECTED: IMPACT → PERSISTENCE → DATA_ACCESS → PRIVILEGE_ESCALATION → INITIAL_ACCESS,"IMMEDIATE INVESTIGATION, CONTAINMENT AND INCIDENT RESPONSE"
E000666,U002,,file_access,80.67,CRITICAL,1,99.8,DATA_ACCESS,1,CMP0002,5.0,1.0,IMPACT → PERSISTENCE → DATA_ACCESS → PRIVILEGE_ESCALATION → INITIAL_ACCESS,0.0,0.0,68.98,HIGH,58.23,1,90.67,CRITICAL,MULTI-STAGE ATTACK CHAIN DETECTED: IMPACT → PERSISTENCE → DATA_ACCESS → PRIVILEGE_ESCALATION → INITIAL_ACCESS,"IMMEDIATE INVESTIGATION, CONTAINMENT AND INCIDENT RESPONSE"
E000586,U001,,permission_change,76.31,HIGH,1,100.0,PRIVILEGE_ESCALATION,1,CMP0001,5.0,1.0,IMPACT → PERSISTENCE → DATA_ACCESS → PRIVILEGE_ESCALATION → INITIAL_ACCESS,0.0,0.0,68.93,HIGH,58.18,1,86.31,CRITICAL,MULTI-STAGE ATTACK CHAIN DETECTED: IMPACT → PERSISTENCE → DATA_ACCESS → PRIVILEGE_ESCALATION → INITIAL_ACCESS,"IMMEDIATE INVESTIGATION, CONTAINMENT AND INCIDENT RESPONSE"
E000664,U002,,permission_change,76.31,HIGH,1,100.0,PRIVILEGE_ESCALATION,1,CMP0002,5.0,1.0,IMPACT → PERSISTENCE → DATA_ACCESS → PRIVILEGE_ESCALATION → INITIAL_ACCESS,0.0,0.0,68.98,HIGH,58.23,1,86.31,CRITICAL,MULTI-STAGE ATTACK CHAIN DETECTED: IMPACT → PERSISTENCE → DATA_ACCESS → PRIVILEGE_ESCALATION → INITIAL_ACCESS,"IMMEDIATE INVESTIGATION, CONTAINMENT AND INCIDENT RESPONSE"
E000663,U002,,login,68.36,HIGH,1,94.28,INITIAL_ACCESS,1,CMP0002,5.0,1.0,IMPACT → PERSISTENCE → DATA_ACCESS → PRIVILEGE_ESCALATION → INITIAL_ACCESS,0.0,0.0,68.98,HIGH,58.23,1,78.36,HIGH,MULTI-STAGE ATTACK CHAIN DETECTED: IMPACT → PERSISTENCE → DATA_ACCESS → PRIVILEGE_ESCALATION → INITIAL_ACCESS,HIGH PRIORITY SECURITY INVESTIGATION
E000585,U001,,login,68.36,HIGH,1,94.28,INITIAL_ACCESS,1,CMP0001,5.0,1.0,IMPACT → PERSISTENCE → DATA_ACCESS → PRIVILEGE_ESCALATION → INITIAL_ACCESS,0.0,0.0,68.93,HIGH,58.18,1,78.36,HIGH,MULTI-STAGE ATTACK CHAIN DETECTED: IMPACT → PERSISTENCE → DATA_ACCESS → PRIVILEGE_ESCALATION → INITIAL_ACCESS,HIGH PRIORITY SECURITY INVESTIGATION
