event_id,user_id,timestamp,event_type,m2_behavior_score,ml_attack_probability,ml_attack_prediction,isolation_risk_score,isolation_forest_prediction,m2_risk_normalized,ml_risk_normalized,isolation_risk_normalized,m9_risk_score,m9_risk_level,m9_attack_prediction,model_agreement,m9_security_alert
E000591,U001,2026-03-10 02:41:00,transaction,55.0,100.0,1,98.6134080237774,1,0.55,1.0,0.9861340802377739,81.72,CRITICAL,1,BOTH MODELS,IMMEDIATE INVESTIGATION REQUIRED
E000669,U002,2026-03-11 02:41:00,transaction,55.0,100.0,1,98.6134080237774,1,0.55,1.0,0.9861340802377739,81.72,CRITICAL,1,BOTH MODELS,IMMEDIATE INVESTIGATION REQUIRED
E000590,U001,2026-03-10 02:34:00,beneficiary_change,40.2,100.0,1,100.0,1,0.402,1.0,1.0,76.08,HIGH,1,BOTH MODELS,HIGH PRIORITY SECURITY ALERT
E000667,U002,2026-03-11 02:34:00,beneficiary_change,40.2,100.0,1,100.0,1,0.402,1.0,1.0,76.08,HIGH,1,BOTH MODELS,HIGH PRIORITY SECURITY ALERT
E000586,U001,2026-03-10 02:19:00,permission_change,33.2,100.0,1,97.14581573723414,1,0.332,1.0,0.9714581573723414,72.71,HIGH,1,BOTH MODELS,HIGH PRIORITY SECURITY ALERT
E000664,U002,2026-03-11 02:19:00,permission_change,33.2,100.0,1,97.14581573723414,1,0.332,1.0,0.9714581573723414,72.71,HIGH,1,BOTH MODELS,HIGH PRIORITY SECURITY ALERT
E000588,U001,2026-03-10 02:27:00,file_access,33.0,97.33333333333334,1,83.10241956040129,1,0.33,0.9733333333333334,0.8310241956040129,68.75,HIGH,1,BOTH MODELS,HIGH PRIORITY SECURITY ALERT
E000666,U002,2026-03-11 02:27:00,file_access,33.0,97.33333333333334,1,83.10241956040129,1,0.33,0.9733333333333334,0.8310241956040129,68.75,HIGH,1,BOTH MODELS,HIGH PRIORITY SECURITY ALERT
E000585,U001,2026-03-10 02:13:00,login,29.1,84.33333333333334,1,90.80383560384166,1,0.29100000000000004,0.8433333333333334,0.9080383560384166,63.53,HIGH,1,BOTH MODELS,HIGH PRIORITY SECURITY ALERT
E000663,U002,2026-03-11 02:13:00,login,29.1,84.33333333333334,1,90.80383560384166,1,0.29100000000000004,0.8433333333333334,0.9080383560384166,63.53,HIGH,1,BOTH MODELS,HIGH PRIORITY SECURITY ALERT
E000508,U013,2026-03-09 00:55:00,login,24.2,6.0,0,82.46080534402634,0,0.242,0.06,0.8246080534402634,28.57,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION
E000580,U019,2026-03-10 00:26:00,login,22.1,7.666666666666666,0,72.23617204668587,0,0.221,0.07666666666666666,0.7223617204668586,26.35,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION
E000275,U005,2026-03-05 12:45:00,login,20.0,1.0,0,68.92555769387717,0,0.2,0.01,0.6892555769387717,22.19,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION
E000629,U017,2026-03-10 10:45:00,transaction,6.0,9.333333333333334,0,63.06681830964928,0,0.06,0.09333333333333334,0.6306681830964928,18.75,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION
E000679,U012,2026-03-11 05:49:00,transaction,9.0,0.0,0,69.67966914271835,0,0.09,0.0,0.6967966914271835,17.54,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION
E000426,U003,2026-03-07 14:31:00,transaction,9.0,0.0,0,69.67966914271835,0,0.09,0.0,0.6967966914271835,17.54,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION
E000582,U019,2026-03-10 01:23:00,transaction,9.0,0.0,0,69.67966914271835,0,0.09,0.0,0.6967966914271835,17.54,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION
E000045,U018,2026-03-02 11:00:00,transaction,9.0,0.0,0,69.67966914271835,0,0.09,0.0,0.6967966914271835,17.54,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION
E000211,U020,2026-03-04 14:39:00,transaction,9.0,0.0,0,69.67966914271835,0,0.09,0.0,0.6967966914271835,17.54,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION
E000335,U011,2026-03-06 11:29:00,transaction,7.5,0.0,0,67.05270608141142,0,0.075,0.0,0.6705270608141142,16.41,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION
E000002,U019,2026-03-02 01:34:00,login,14.1,0.0,0,46.2256638048616,0,0.141,0.0,0.46225663804861594,14.89,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION
E000641,U003,2026-03-10 13:05:00,login,14.1,0.0,0,46.2256638048616,0,0.141,0.0,0.46225663804861594,14.89,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION
E000514,U015,2026-03-09 01:55:00,login,14.1,0.0,0,46.2256638048616,0,0.141,0.0,0.46225663804861594,14.89,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION
E000670,U012,2026-03-11 02:52:00,login,14.1,0.0,0,46.2256638048616,0,0.141,0.0,0.46225663804861594,14.89,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION
E000367,U019,2026-03-07 01:14:00,login,14.1,0.0,0,46.2256638048616,0,0.141,0.0,0.46225663804861594,14.89,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION
E000583,U006,2026-03-10 01:43:00,login,14.1,0.0,0,46.2256638048616,0,0.141,0.0,0.46225663804861594,14.89,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION
E000365,U006,2026-03-07 01:06:00,login,14.1,0.0,0,46.2256638048616,0,0.141,0.0,0.46225663804861594,14.89,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION
E000343,U003,2026-03-06 13:34:00,login,14.1,0.0,0,46.2256638048616,0,0.141,0.0,0.46225663804861594,14.89,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION
E000300,U012,2026-03-06 02:19:00,login,14.1,0.0,0,46.2256638048616,0,0.141,0.0,0.46225663804861594,14.89,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION
E000228,U012,2026-03-05 02:07:00,login,14.1,0.0,0,46.2256638048616,0,0.141,0.0,0.46225663804861594,14.89,LOW,0,NO MODEL DETECTION,NO IMMEDIATE ACTION
