event_id,user_id,timestamp,event_type,resource_id,sensitive_resource_flag,records_accessed,device_id,new_device_flag,permission_change_flag,new_permission_level,beneficiary_id,new_beneficiary_flag,transaction_amount,role,actor_type,peer_group_id,typical_login_hour,login_hour_spread,avg_session_minutes,session_spread,avg_txn_amount,txn_amount_spread,avg_txn_per_day,home_device,event_hour,event_date,login_hour_difference,login_deviation_z,login_behavior_score,transaction_amount_z,transaction_behavior_score,session_behavior_score,session_duration_z,device_behavior_score,user_event_type_count,user_total_events,user_event_type_frequency,event_type_behavior_score,peer_login_mean,peer_login_std,peer_login_event_deviation,peer_login_score,peer_event_frequency,peer_event_score,peer_deviation_score,sequence_behavior_score,is_new_device_login,is_permission_change,is_sensitive_file_access,is_new_beneficiary,is_large_transaction,m2_behavior_score,m2_behavior_risk_level,off_hours_flag,weekend_activity_flag,time_since_previous_event_seconds,user_events_last_5min,user_events_last_15min,user_events_last_30min,event_velocity_score,transaction_ratio_to_user_average,transaction_spike_score,new_device_off_hours_flag,sensitive_new_device_flag,privilege_sensitive_access_flag,beneficiary_transaction_flag,attack_stage_score,sequence_progression_score,contextual_risk_score,is_attack,ml_attack_prediction,ml_attack_probability,ml_risk_level
E000590,U001,2026-03-10 02:34:00,beneficiary_change,,0,0,DEV-039,0,0,,BEN-002,1,0.0,admin,employee,PG1,8.062526888056667,0.6925205228583835,35.624751670417595,12.364712141640124,338.34974371145563,362.2628486966959,0.2608164978882484,DEV-028,2,2026-03-10,6.0625268880566665,8.754292021604707,0.0,0.9339896291566416,0.0,0.0,0.0,50.0,1,37,0.027027027027027,60.0,8.972677595628415,4.294683263006742,1.6235603812018464,0.0,0.0054644808743169,40.0,12.0,80.0,False,False,False,True,False,40.2,MODERATE,1,0,420.0,0,2,3,6.0,0.0,0.0,0,0,0,0,20.0,44.9,20.8,1,1,100.0,CRITICAL
E000667,U002,2026-03-11 02:34:00,beneficiary_change,,0,0,DEV-005,0,0,,BEN-002,1,0.0,admin,employee,PG2,8.074493048595176,0.6530465823625223,55.374870167235365,5.265359696838637,99.41882534332424,277.4595532228331,1.63482444180965,DEV-015,2,2026-03-11,6.074493048595176,9.301776033525083,0.0,0.3583182636478877,0.0,0.0,0.0,50.0,1,39,0.0256410256410256,60.0,9.209944751381215,4.253117875582253,1.6952139494591767,0.0,0.005524861878453,40.0,12.0,80.0,False,False,False,True,False,40.2,MODERATE,1,0,420.0,0,2,3,6.0,0.0,0.0,0,0,0,0,20.0,44.9,20.8,1,1,100.0,CRITICAL
E000669,U002,2026-03-11 02:41:00,transaction,,0,0,DEV-005,0,0,,BEN-002,1,14259.53,admin,employee,PG2,8.074493048595176,0.6530465823625223,55.374870167235365,5.265359696838637,99.41882534332424,277.4595532228331,1.63482444180965,DEV-015,2,2026-03-11,6.074493048595176,9.301776033525083,0.0,51.03486620006347,100.0,0.0,0.0,50.0,9,39,0.2307692307692307,0.0,9.209944751381215,4.253117875582253,1.6952139494591767,0.0,0.1933701657458563,0.0,0.0,100.0,False,False,False,False,True,55.0,MODERATE,1,0,420.0,0,2,4,6.83,100.0,100.0,0,0,0,0,20.0,70.02,41.05,1,1,99.0,CRITICAL
E000591,U001,2026-03-10 02:41:00,transaction,,0,0,DEV-039,0,0,,BEN-002,1,10411.7,admin,employee,PG1,8.062526888056667,0.6925205228583835,35.624751670417595,12.364712141640124,338.34974371145563,362.2628486966959,0.2608164978882484,DEV-028,2,2026-03-10,6.0625268880566665,8.754292021604707,0.0,27.806743894741587,100.0,0.0,0.0,50.0,5,37,0.1351351351351351,0.0,8.972677595628415,4.294683263006742,1.6235603812018464,0.0,0.1639344262295081,0.0,0.0,100.0,False,False,False,False,True,55.0,MODERATE,1,0,420.0,0,2,4,6.83,30.77,100.0,0,0,0,0,20.0,70.02,41.05,1,1,98.75,CRITICAL
E000588,U001,2026-03-10 02:27:00,file_access,RES-002,1,616,DEV-039,0,0,,,0,0.0,admin,employee,PG1,8.062526888056667,0.6925205228583835,35.624751670417595,12.364712141640124,338.34974371145563,362.2628486966959,0.2608164978882484,DEV-028,2,2026-03-10,6.0625268880566665,8.754292021604707,0.0,0.9339896291566416,0.0,0.0,0.0,50.0,20,37,0.5405405405405406,0.0,8.972677595628415,4.294683263006742,1.6235603812018464,0.0,0.5519125683060109,0.0,0.0,80.0,False,False,True,False,False,33.0,LOW-MODERATE,1,0,480.0,0,2,2,5.17,0.0,0.0,0,0,0,0,20.0,44.78,20.55,1,1,96.5,CRITICAL
E000666,U002,2026-03-11 02:27:00,file_access,RES-009,1,878,DEV-005,0,0,,,0,0.0,admin,employee,PG2,8.074493048595176,0.6530465823625223,55.374870167235365,5.265359696838637,99.41882534332424,277.4595532228331,1.63482444180965,DEV-015,2,2026-03-11,6.074493048595176,9.301776033525083,0.0,0.3583182636478877,0.0,0.0,0.0,50.0,19,39,0.4871794871794871,0.0,9.209944751381215,4.253117875582253,1.6952139494591767,0.0,0.5303867403314917,0.0,0.0,80.0,False,False,True,False,False,33.0,LOW-MODERATE,1,0,480.0,0,2,2,5.17,0.0,0.0,0,0,0,0,20.0,44.78,20.55,1,1,96.5,CRITICAL
E000586,U001,2026-03-10 02:19:00,permission_change,,0,0,DEV-039,0,1,elevated,,0,0.0,admin,employee,PG1,8.062526888056667,0.6925205228583835,35.624751670417595,12.364712141640124,338.34974371145563,362.2628486966959,0.2608164978882484,DEV-028,2,2026-03-10,6.0625268880566665,8.754292021604707,0.0,0.9339896291566416,0.0,0.0,0.0,50.0,1,37,0.027027027027027,60.0,8.972677595628415,4.294683263006742,1.6235603812018464,0.0,0.0054644808743169,40.0,12.0,60.0,False,True,False,False,False,33.2,LOW-MODERATE,1,0,360.0,0,1,1,2.58,0.0,0.0,0,0,0,0,20.0,34.39,19.77,1,1,86.75,CRITICAL
E000664,U002,2026-03-11 02:19:00,permission_change,,0,0,DEV-005,0,1,elevated,,0,0.0,admin,employee,PG2,8.074493048595176,0.6530465823625223,55.374870167235365,5.265359696838637,99.41882534332424,277.4595532228331,1.63482444180965,DEV-015,2,2026-03-11,6.074493048595176,9.301776033525083,0.0,0.3583182636478877,0.0,0.0,0.0,50.0,1,39,0.0256410256410256,60.0,9.209944751381215,4.253117875582253,1.6952139494591767,0.0,0.005524861878453,40.0,12.0,60.0,False,True,False,False,False,33.2,LOW-MODERATE,1,0,360.0,0,1,1,2.58,0.0,0.0,0,0,0,0,20.0,34.39,19.77,1,1,86.75,CRITICAL
E000585,U001,2026-03-10 02:13:00,login,,0,0,DEV-039,1,0,,,0,0.0,admin,employee,PG1,8.062526888056667,0.6925205228583835,35.624751670417595,12.364712141640124,338.34974371145563,362.2628486966959,0.2608164978882484,DEV-028,2,2026-03-10,6.0625268880566665,8.754292021604707,100.0,0.9339896291566416,0.0,0.0,0.0,70.0,10,37,0.2702702702702703,0.0,8.972677595628415,4.294683263006742,1.6235603812018464,30.0,0.273224043715847,0.0,21.0,0.0,True,False,False,False,False,29.1,LOW-MODERATE,1,0,58080.0,0,0,0,0.0,0.0,0.0,1,0,0,0,20.0,4.0,34.0,1,1,77.75,HIGH
E000663,U002,2026-03-11 02:13:00,login,,0,0,DEV-005,1,0,,,0,0.0,admin,employee,PG2,8.074493048595176,0.6530465823625223,55.374870167235365,5.265359696838637,99.41882534332424,277.4595532228331,1.63482444180965,DEV-015,2,2026-03-11,6.074493048595176,9.301776033525083,100.0,0.3583182636478877,0.0,0.0,0.0,70.0,9,39,0.2307692307692307,0.0,9.209944751381215,4.253117875582253,1.6952139494591767,30.0,0.2651933701657458,0.0,21.0,0.0,True,False,False,False,False,29.1,LOW-MODERATE,1,0,54840.0,0,0,0,0.0,0.0,0.0,1,0,0,0,20.0,4.0,34.0,1,1,77.75,HIGH
E000508,U013,2026-03-09 00:55:00,login,,0,0,DEV-001,0,0,,,0,0.0,analyst,automated_system,PG1,2.0,0.5,46.933711817215006,10.95888428361128,234.02494389233863,137.9949419936346,1.6596776886458624,DEV-001,0,2026-03-09,2.0,4.0,100.0,1.6958950850758985,0.0,0.0,0.0,0.0,10,38,0.2631578947368421,0.0,8.972677595628415,4.294683263006742,2.089252465465072,60.0,0.273224043715847,0.0,42.0,0.0,False,False,False,False,False,24.2,LOW-MODERATE,1,0,73140.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,15.0,0,0,4.25,LOW
E000580,U019,2026-03-10 00:26:00,login,,0,0,DEV-024,0,0,,,0,0.0,admin,service_account,PG3,2.0,0.5,85.02394451015238,12.552651966358056,344.9338160498108,299.53214048669264,1.1969768999922874,DEV-024,0,2026-03-10,2.0,4.0,100.0,1.1515753050385429,0.0,0.0,0.0,0.0,10,34,0.2941176470588235,0.0,7.707446808510638,4.872112925153142,1.5819515940855116,30.0,0.2606382978723404,0.0,21.0,0.0,False,False,False,False,False,22.1,LOW-MODERATE,1,0,69960.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,15.0,0,0,3.25,LOW
E000706,U009,2026-03-11 10:53:00,transaction,,0,0,DEV-014,0,0,,BEN-012,0,227.93,analyst,employee,PG1,9.711535627474689,1.0899963441328668,74.31999380823714,7.290480719641044,16.05012195201888,160.4085668206787,0.8032226279271082,DEV-014,10,2026-03-11,0.2884643725253113,0.2646471009540821,0.0,1.3208763237991048,30.0,0.0,0.0,0.0,5,36,0.1388888888888889,0.0,8.972677595628415,4.294683263006742,0.2392079558510558,0.0,0.1639344262295081,0.0,0.0,0.0,False,False,False,False,True,4.5,LOW,0,0,6000.0,0,0,0,0.0,14.2,100.0,0,0,0,0,20.0,19.0,24.0,0,0,2.25,LOW
E000629,U017,2026-03-10 10:45:00,transaction,,0,0,DEV-032,0,0,,BEN-010,0,407.88,analyst,employee,PG1,10.196804694557962,1.0821658705528256,41.5259887781863,5.579251664941875,439.0047996020203,381.4323058542979,0.2569603562036363,DEV-032,10,2026-03-10,0.1968046945579615,0.181861856775638,0.0,0.0815997992941624,0.0,0.0,0.0,0.0,1,34,0.0294117647058823,60.0,8.972677595628415,4.294683263006742,0.2392079558510558,0.0,0.1639344262295081,0.0,0.0,0.0,False,False,False,False,True,6.0,LOW,0,0,1320.0,0,0,1,0.83,0.93,9.3,0,0,0,0,20.0,5.52,6.11,0,0,2.0,LOW
E000275,U005,2026-03-05 12:45:00,login,,0,0,DEV-024,0,0,,,0,0.0,analyst,service_account,PG1,14.0,0.5,28.73783139972465,14.222953720281598,39.40009903922908,152.6123984924825,1.8859193984833305,DEV-024,12,2026-03-05,2.0,4.0,100.0,0.2581710229865097,0.0,0.0,0.0,0.0,10,38,0.2631578947368421,0.0,8.972677595628415,4.294683263006742,0.7049000401142813,0.0,0.273224043715847,0.0,0.0,0.0,False,False,False,False,False,20.0,LOW-MODERATE,0,0,73140.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.5,LOW
E000084,U015,2026-03-03 03:44:00,file_access,RES-002,1,17,DEV-013,0,0,,,0,0.0,admin,automated_system,PG3,2.0,0.5,55.53771722230277,6.06410822797705,312.6500967832088,344.58427186036346,1.5229886459329025,DEV-013,3,2026-03-03,1.0,2.0,0.0,0.9073255000736208,0.0,0.0,0.0,0.0,20,40,0.5,0.0,7.707446808510638,4.872112925153142,0.9662023193689976,0.0,0.526595744680851,0.0,0.0,0.0,False,False,True,False,False,0.0,LOW,1,0,120.0,1,1,1,6.58,0.0,0.0,0,0,0,0,20.0,4.99,20.97,0,0,0.5,LOW
