event_id,user_id,timestamp,event_type,resource_id,sensitive_resource_flag,records_accessed,device_id,new_device_flag,permission_change_flag,new_permission_level,beneficiary_id,new_beneficiary_flag,transaction_amount,exceeds_limit_flag,session_duration_minutes,role,actor_type,peer_group_id,typical_login_hour,login_hour_spread,avg_session_minutes,avg_txn_amount,txn_amount_spread,transaction_limit,home_device,event_hour,login_hour_difference,login_risk,device_risk,transaction_risk,resource_risk,permission_risk,beneficiary_risk,session_risk,behavior_risk,sequence_risk,context_risk,final_risk,alert_level
E0015,U001,2026-03-02 08:13:00,login,,0,0,DEV-018,0,0,,,0,0.0,0,0.0,analyst,employee,PG1,9.59856699614471,0.5175075286558668,31.00117273476477,166.96322144464682,118.37654569968149,800.0,DEV-018,8,1.5985669961447098,100,0,0,0,0,0,0,15.0,0,0,10.5,LOW
E0026,U001,2026-03-02 08:52:00,file_access,RES-012,0,12,DEV-018,0,0,,,0,0.0,0,0.0,analyst,employee,PG1,9.59856699614471,0.5175075286558668,31.00117273476477,166.96322144464682,118.37654569968149,800.0,DEV-018,8,1.5985669961447098,100,0,0,0,0,0,0,15.0,0,0,10.5,LOW
E0044,U001,2026-03-02 09:39:00,transaction,,0,0,DEV-018,0,0,,BEN-011,0,138.99,0,0.0,analyst,employee,PG1,9.59856699614471,0.5175075286558668,31.00117273476477,166.96322144464682,118.37654569968149,800.0,DEV-018,9,0.5985669961447098,30,0,0,0,0,0,0,4.5,0,0,3.15,LOW
E0055,U001,2026-03-02 10:12:00,logout,,0,0,DEV-018,0,0,,,0,0.0,0,119.0,analyst,employee,PG1,9.59856699614471,0.5175075286558668,31.00117273476477,166.96322144464682,118.37654569968149,800.0,DEV-018,10,0.40143300385529024,0,0,0,0,0,0,90,4.5,0,0,3.15,LOW
E0105,U001,2026-03-03 09:14:00,login,,0,0,DEV-018,0,0,,,0,0.0,0,0.0,analyst,employee,PG1,9.59856699614471,0.5175075286558668,31.00117273476477,166.96322144464682,118.37654569968149,800.0,DEV-018,9,0.5985669961447098,30,0,0,0,0,0,0,4.5,0,0,3.15,LOW
E0109,U001,2026-03-03 09:23:00,file_access,RES-016,0,1,DEV-018,0,0,,,0,0.0,0,0.0,analyst,employee,PG1,9.59856699614471,0.5175075286558668,31.00117273476477,166.96322144464682,118.37654569968149,800.0,DEV-018,9,0.5985669961447098,30,0,0,0,0,0,0,4.5,0,0,3.15,LOW
E0117,U001,2026-03-03 09:47:00,logout,,0,0,DEV-018,0,0,,,0,0.0,0,33.0,analyst,employee,PG1,9.59856699614471,0.5175075286558668,31.00117273476477,166.96322144464682,118.37654569968149,800.0,DEV-018,9,0.5985669961447098,30,0,0,0,0,0,0,4.5,0,0,3.15,LOW
E0172,U001,2026-03-04 09:00:00,login,,0,0,DEV-018,0,0,,,0,0.0,0,0.0,analyst,employee,PG1,9.59856699614471,0.5175075286558668,31.00117273476477,166.96322144464682,118.37654569968149,800.0,DEV-018,9,0.5985669961447098,30,0,0,0,0,0,0,4.5,0,0,3.15,LOW
E0177,U001,2026-03-04 09:09:00,file_access,RES-007,0,4,DEV-018,0,0,,,0,0.0,0,0.0,analyst,employee,PG1,9.59856699614471,0.5175075286558668,31.00117273476477,166.96322144464682,118.37654569968149,800.0,DEV-018,9,0.5985669961447098,30,0,0,0,0,0,0,4.5,0,0,3.15,LOW
E0178,U001,2026-03-04 09:16:00,transaction,,0,0,DEV-018,0,0,,BEN-004,0,195.81,0,0.0,analyst,employee,PG1,9.59856699614471,0.5175075286558668,31.00117273476477,166.96322144464682,118.37654569968149,800.0,DEV-018,9,0.5985669961447098,30,0,0,0,0,0,0,4.5,0,0,3.15,LOW
