event_id,user_id,timestamp,event_type,resource_id,sensitive_resource_flag,records_accessed,device_id,new_device_flag,permission_change_flag,new_permission_level,beneficiary_id,new_beneficiary_flag,transaction_amount,role,actor_type,peer_group_id,typical_login_hour,login_hour_spread,avg_session_minutes,session_spread,avg_txn_amount,txn_amount_spread,avg_txn_per_day,home_device,event_hour,event_date,login_hour_difference,login_deviation_z,login_behavior_score,transaction_amount_z,transaction_behavior_score,session_behavior_score,session_duration_z,device_behavior_score,user_event_type_count,user_total_events,user_event_type_frequency,event_type_behavior_score,peer_login_mean,peer_login_std,peer_login_event_deviation,peer_login_score,peer_event_frequency,peer_event_score,peer_deviation_score,sequence_behavior_score,is_new_device_login,is_permission_change,is_sensitive_file_access,is_new_beneficiary,is_large_transaction,is_attack,ml_attack_prediction,ml_attack_probability,ml_risk_level,m2_behavior_score,m2_behavior_risk_level,behavior_risk_normalized,ml_risk_normalized,final_risk_score,final_risk_level,security_alert,detection_reason,detection_reasons,recommended_action,investigation_priority,incident_id,attack_stage,attack_sequence_step,incident_event_count,incident_start_time,incident_end_time,incident_max_risk,incident_duration_minutes,incident_severity,incident_summary,incident_recommended_response
E000585,U001,2026-03-10 02:13:00,login,,0,0,DEV-039,1,0,,,0,0.0,admin,employee,PG1,8.062526888056667,0.6925205228583835,35.624751670417595,12.364712141640124,338.34974371145563,362.2628486966959,0.2608164978882484,DEV-028,2,2026-03-10,6.0625268880566665,8.754292021604707,100.0,0.9339896291566416,0.0,0.0,0.0,70.0,10,37,0.2702702702702703,0.0,8.972677595628415,4.294683263006742,1.6235603812018464,30.0,0.273224043715847,0.0,21.0,0.0,True,False,False,False,False,1,1,84.33333333333334,CRITICAL,29.1,LOW-MODERATE,0.291,0.8433333333333334,70.0,HIGH,HIGH PRIORITY SECURITY ALERT,ML attack detection | Abnormal device behaviour,High machine learning attack probability | Moderate deviation from the user's normal behaviour | Activity detected from a highly unusual or new device | Login or activity originated from a new device | Behaviour deviates from peer group patterns,"Perform urgent security review, verify the user and investigate related events before allowing further sensitive activity.",P2 - URGENT,INC-001,INITIAL ACCESS,1,5,2026-03-10 02:13:00,2026-03-10 02:41:00,82.0,28.0,CRITICAL,User U001 generated 5 correlated security events. Attack progression: INITIAL ACCESS -> PRIVILEGE ESCALATION -> SENSITIVE DATA ACCESS -> FINANCIAL PREPARATION -> FINANCIAL IMPACT,"Immediately contain the incident, block suspicious activity, validate the user, and begin a full security investigation."
E000586,U001,2026-03-10 02:19:00,permission_change,,0,0,DEV-039,0,1,elevated,,0,0.0,admin,employee,PG1,8.062526888056667,0.6925205228583835,35.624751670417595,12.364712141640124,338.34974371145563,362.2628486966959,0.2608164978882484,DEV-028,2,2026-03-10,6.0625268880566665,8.754292021604707,0.0,0.9339896291566416,0.0,0.0,0.0,50.0,1,37,0.027027027027027,60.0,8.972677595628415,4.294683263006742,1.6235603812018464,0.0,0.0054644808743169,40.0,12.0,60.0,False,True,False,False,False,1,1,100.0,CRITICAL,33.2,LOW-MODERATE,0.332,1.0,73.28,HIGH,HIGH PRIORITY SECURITY ALERT,Behavioural deviation | ML attack detection | Suspicious attack sequence | Abnormal device behaviour,Very high machine learning attack probability | Significant deviation from the user's normal behaviour | Suspicious event sequence detected | Device behaviour differs from the user's normal pattern | Suspicious permission or privilege change detected,"Perform urgent security review, verify the user and investigate related events before allowing further sensitive activity.",P2 - URGENT,INC-001,PRIVILEGE ESCALATION,2,5,2026-03-10 02:13:00,2026-03-10 02:41:00,82.0,28.0,CRITICAL,User U001 generated 5 correlated security events. Attack progression: INITIAL ACCESS -> PRIVILEGE ESCALATION -> SENSITIVE DATA ACCESS -> FINANCIAL PREPARATION -> FINANCIAL IMPACT,"Immediately contain the incident, block suspicious activity, validate the user, and begin a full security investigation."
E000588,U001,2026-03-10 02:27:00,file_access,RES-002,1,616,DEV-039,0,0,,,0,0.0,admin,employee,PG1,8.062526888056667,0.6925205228583835,35.624751670417595,12.364712141640124,338.34974371145563,362.2628486966959,0.2608164978882484,DEV-028,2,2026-03-10,6.0625268880566665,8.754292021604707,0.0,0.9339896291566416,0.0,0.0,0.0,50.0,20,37,0.5405405405405406,0.0,8.972677595628415,4.294683263006742,1.6235603812018464,0.0,0.5519125683060109,0.0,0.0,80.0,False,False,True,False,False,1,1,97.33333333333334,CRITICAL,33.0,LOW-MODERATE,0.33,0.9733333333333334,71.6,HIGH,HIGH PRIORITY SECURITY ALERT,Behavioural deviation | ML attack detection | Suspicious attack sequence | Abnormal device behaviour,Very high machine learning attack probability | Significant deviation from the user's normal behaviour | Detected as part of a suspicious multi-stage attack sequence | Device behaviour differs from the user's normal pattern | Sensitive resource accessed,"Perform urgent security review, verify the user and investigate related events before allowing further sensitive activity.",P2 - URGENT,INC-001,SENSITIVE DATA ACCESS,3,5,2026-03-10 02:13:00,2026-03-10 02:41:00,82.0,28.0,CRITICAL,User U001 generated 5 correlated security events. Attack progression: INITIAL ACCESS -> PRIVILEGE ESCALATION -> SENSITIVE DATA ACCESS -> FINANCIAL PREPARATION -> FINANCIAL IMPACT,"Immediately contain the incident, block suspicious activity, validate the user, and begin a full security investigation."
E000590,U001,2026-03-10 02:34:00,beneficiary_change,,0,0,DEV-039,0,0,,BEN-002,1,0.0,admin,employee,PG1,8.062526888056667,0.6925205228583835,35.624751670417595,12.364712141640124,338.34974371145563,362.2628486966959,0.2608164978882484,DEV-028,2,2026-03-10,6.0625268880566665,8.754292021604707,0.0,0.9339896291566416,0.0,0.0,0.0,50.0,1,37,0.027027027027027,60.0,8.972677595628415,4.294683263006742,1.6235603812018464,0.0,0.0054644808743169,40.0,12.0,80.0,False,False,False,True,False,1,1,100.0,CRITICAL,40.2,MODERATE,0.402,1.0,76.08,HIGH,HIGH PRIORITY SECURITY ALERT,Behavioural deviation | ML attack detection | Suspicious attack sequence | Abnormal device behaviour,Very high machine learning attack probability | Significant deviation from the user's normal behaviour | Detected as part of a suspicious multi-stage attack sequence | Device behaviour differs from the user's normal pattern | New beneficiary added or used,"Perform urgent security review, verify the user and investigate related events before allowing further sensitive activity.",P2 - URGENT,INC-001,FINANCIAL PREPARATION,4,5,2026-03-10 02:13:00,2026-03-10 02:41:00,82.0,28.0,CRITICAL,User U001 generated 5 correlated security events. Attack progression: INITIAL ACCESS -> PRIVILEGE ESCALATION -> SENSITIVE DATA ACCESS -> FINANCIAL PREPARATION -> FINANCIAL IMPACT,"Immediately contain the incident, block suspicious activity, validate the user, and begin a full security investigation."
E000591,U001,2026-03-10 02:41:00,transaction,,0,0,DEV-039,0,0,,BEN-002,1,10411.7,admin,employee,PG1,8.062526888056667,0.6925205228583835,35.624751670417595,12.364712141640124,338.34974371145563,362.2628486966959,0.2608164978882484,DEV-028,2,2026-03-10,6.0625268880566665,8.754292021604707,0.0,27.806743894741587,100.0,0.0,0.0,50.0,5,37,0.1351351351351351,0.0,8.972677595628415,4.294683263006742,1.6235603812018464,0.0,0.1639344262295081,0.0,0.0,100.0,False,False,False,False,True,1,1,100.0,CRITICAL,55.0,MODERATE,0.55,1.0,82.0,CRITICAL,IMMEDIATE INVESTIGATION REQUIRED,Behavioural deviation | ML attack detection | Suspicious attack sequence | Abnormal device behaviour,Very high machine learning attack probability | Severe deviation from the user's normal behaviour | Detected as the final stage of a suspicious attack sequence | Device behaviour differs from the user's normal pattern | New beneficiary added or used | High-value transaction detected,"Immediately investigate the event, validate the user identity, review related activities, and consider blocking the account or transaction.",P1 - IMMEDIATE,INC-001,FINANCIAL IMPACT,5,5,2026-03-10 02:13:00,2026-03-10 02:41:00,82.0,28.0,CRITICAL,User U001 generated 5 correlated security events. Attack progression: INITIAL ACCESS -> PRIVILEGE ESCALATION -> SENSITIVE DATA ACCESS -> FINANCIAL PREPARATION -> FINANCIAL IMPACT,"Immediately contain the incident, block suspicious activity, validate the user, and begin a full security investigation."
E000663,U002,2026-03-11 02:13:00,login,,0,0,DEV-005,1,0,,,0,0.0,admin,employee,PG2,8.074493048595176,0.6530465823625223,55.374870167235365,5.265359696838637,99.41882534332424,277.4595532228331,1.63482444180965,DEV-015,2,2026-03-11,6.074493048595176,9.301776033525083,100.0,0.3583182636478877,0.0,0.0,0.0,70.0,9,39,0.2307692307692307,0.0,9.209944751381215,4.253117875582253,1.6952139494591767,30.0,0.2651933701657458,0.0,21.0,0.0,True,False,False,False,False,1,1,84.33333333333334,CRITICAL,29.1,LOW-MODERATE,0.291,0.8433333333333334,70.0,HIGH,HIGH PRIORITY SECURITY ALERT,ML attack detection | Abnormal device behaviour,High machine learning attack probability | Moderate deviation from the user's normal behaviour | Activity detected from a highly unusual or new device | Login or activity originated from a new device | Behaviour deviates from peer group patterns,"Perform urgent security review, verify the user and investigate related events before allowing further sensitive activity.",P2 - URGENT,INC-002,INITIAL ACCESS,1,5,2026-03-11 02:13:00,2026-03-11 02:41:00,82.0,28.0,CRITICAL,User U002 generated 5 correlated security events. Attack progression: INITIAL ACCESS -> PRIVILEGE ESCALATION -> SENSITIVE DATA ACCESS -> FINANCIAL PREPARATION -> FINANCIAL IMPACT,"Immediately contain the incident, block suspicious activity, validate the user, and begin a full security investigation."
E000664,U002,2026-03-11 02:19:00,permission_change,,0,0,DEV-005,0,1,elevated,,0,0.0,admin,employee,PG2,8.074493048595176,0.6530465823625223,55.374870167235365,5.265359696838637,99.41882534332424,277.4595532228331,1.63482444180965,DEV-015,2,2026-03-11,6.074493048595176,9.301776033525083,0.0,0.3583182636478877,0.0,0.0,0.0,50.0,1,39,0.0256410256410256,60.0,9.209944751381215,4.253117875582253,1.6952139494591767,0.0,0.005524861878453,40.0,12.0,60.0,False,True,False,False,False,1,1,100.0,CRITICAL,33.2,LOW-MODERATE,0.332,1.0,73.28,HIGH,HIGH PRIORITY SECURITY ALERT,Behavioural deviation | ML attack detection | Suspicious attack sequence | Abnormal device behaviour,Very high machine learning attack probability | Significant deviation from the user's normal behaviour | Suspicious event sequence detected | Device behaviour differs from the user's normal pattern | Suspicious permission or privilege change detected,"Perform urgent security review, verify the user and investigate related events before allowing further sensitive activity.",P2 - URGENT,INC-002,PRIVILEGE ESCALATION,2,5,2026-03-11 02:13:00,2026-03-11 02:41:00,82.0,28.0,CRITICAL,User U002 generated 5 correlated security events. Attack progression: INITIAL ACCESS -> PRIVILEGE ESCALATION -> SENSITIVE DATA ACCESS -> FINANCIAL PREPARATION -> FINANCIAL IMPACT,"Immediately contain the incident, block suspicious activity, validate the user, and begin a full security investigation."
E000666,U002,2026-03-11 02:27:00,file_access,RES-009,1,878,DEV-005,0,0,,,0,0.0,admin,employee,PG2,8.074493048595176,0.6530465823625223,55.374870167235365,5.265359696838637,99.41882534332424,277.4595532228331,1.63482444180965,DEV-015,2,2026-03-11,6.074493048595176,9.301776033525083,0.0,0.3583182636478877,0.0,0.0,0.0,50.0,19,39,0.4871794871794871,0.0,9.209944751381215,4.253117875582253,1.6952139494591767,0.0,0.5303867403314917,0.0,0.0,80.0,False,False,True,False,False,1,1,97.33333333333334,CRITICAL,33.0,LOW-MODERATE,0.33,0.9733333333333334,71.6,HIGH,HIGH PRIORITY SECURITY ALERT,Behavioural deviation | ML attack detection | Suspicious attack sequence | Abnormal device behaviour,Very high machine learning attack probability | Significant deviation from the user's normal behaviour | Detected as part of a suspicious multi-stage attack sequence | Device behaviour differs from the user's normal pattern | Sensitive resource accessed,"Perform urgent security review, verify the user and investigate related events before allowing further sensitive activity.",P2 - URGENT,INC-002,SENSITIVE DATA ACCESS,3,5,2026-03-11 02:13:00,2026-03-11 02:41:00,82.0,28.0,CRITICAL,User U002 generated 5 correlated security events. Attack progression: INITIAL ACCESS -> PRIVILEGE ESCALATION -> SENSITIVE DATA ACCESS -> FINANCIAL PREPARATION -> FINANCIAL IMPACT,"Immediately contain the incident, block suspicious activity, validate the user, and begin a full security investigation."
E000667,U002,2026-03-11 02:34:00,beneficiary_change,,0,0,DEV-005,0,0,,BEN-002,1,0.0,admin,employee,PG2,8.074493048595176,0.6530465823625223,55.374870167235365,5.265359696838637,99.41882534332424,277.4595532228331,1.63482444180965,DEV-015,2,2026-03-11,6.074493048595176,9.301776033525083,0.0,0.3583182636478877,0.0,0.0,0.0,50.0,1,39,0.0256410256410256,60.0,9.209944751381215,4.253117875582253,1.6952139494591767,0.0,0.005524861878453,40.0,12.0,80.0,False,False,False,True,False,1,1,100.0,CRITICAL,40.2,MODERATE,0.402,1.0,76.08,HIGH,HIGH PRIORITY SECURITY ALERT,Behavioural deviation | ML attack detection | Suspicious attack sequence | Abnormal device behaviour,Very high machine learning attack probability | Significant deviation from the user's normal behaviour | Detected as part of a suspicious multi-stage attack sequence | Device behaviour differs from the user's normal pattern | New beneficiary added or used,"Perform urgent security review, verify the user and investigate related events before allowing further sensitive activity.",P2 - URGENT,INC-002,FINANCIAL PREPARATION,4,5,2026-03-11 02:13:00,2026-03-11 02:41:00,82.0,28.0,CRITICAL,User U002 generated 5 correlated security events. Attack progression: INITIAL ACCESS -> PRIVILEGE ESCALATION -> SENSITIVE DATA ACCESS -> FINANCIAL PREPARATION -> FINANCIAL IMPACT,"Immediately contain the incident, block suspicious activity, validate the user, and begin a full security investigation."
E000669,U002,2026-03-11 02:41:00,transaction,,0,0,DEV-005,0,0,,BEN-002,1,14259.53,admin,employee,PG2,8.074493048595176,0.6530465823625223,55.374870167235365,5.265359696838637,99.41882534332424,277.4595532228331,1.63482444180965,DEV-015,2,2026-03-11,6.074493048595176,9.301776033525083,0.0,51.03486620006347,100.0,0.0,0.0,50.0,9,39,0.2307692307692307,0.0,9.209944751381215,4.253117875582253,1.6952139494591767,0.0,0.1933701657458563,0.0,0.0,100.0,False,False,False,False,True,1,1,100.0,CRITICAL,55.0,MODERATE,0.55,1.0,82.0,CRITICAL,IMMEDIATE INVESTIGATION REQUIRED,Behavioural deviation | ML attack detection | Suspicious attack sequence | Abnormal device behaviour,Very high machine learning attack probability | Severe deviation from the user's normal behaviour | Detected as the final stage of a suspicious attack sequence | Device behaviour differs from the user's normal pattern | New beneficiary added or used | High-value transaction detected,"Immediately investigate the event, validate the user identity, review related activities, and consider blocking the account or transaction.",P1 - IMMEDIATE,INC-002,FINANCIAL IMPACT,5,5,2026-03-11 02:13:00,2026-03-11 02:41:00,82.0,28.0,CRITICAL,User U002 generated 5 correlated security events. Attack progression: INITIAL ACCESS -> PRIVILEGE ESCALATION -> SENSITIVE DATA ACCESS -> FINANCIAL PREPARATION -> FINANCIAL IMPACT,"Immediately contain the incident, block suspicious activity, validate the user, and begin a full security investigation."
